WDPAID,NAME,IUCN_CAT,GIS_AREA,ISO3,latitude,longitude
555710991,SHorskij,IV,107.85,Russia,56.22237,49.11466
555710993,CHatyr-Tau,IV,41.48,Russia,54.88386,53.40171
555710994,Stepnoj imeni A.I.SHHepovskih,IV,58.30,Russia,54.51137,52.29849
555710995,Bol`shoe Kosinskoe boloto,IV,25.13,Russia,59.48987,54.13196
555711008,Tihoe (Tihonovskoe) boloto,IV,30.72,Russia,58.80744,56.66395
555711009,Hasautskij,IV,423.17,Russia,43.59576,42.49607
555711010,Labinskij,IV,112.03,Russia,43.74764,40.92276
555711011,Damhurc,IV,331.57,Russia,43.67613,40.81802
555711012,El`burganskij,IV,158.25,Russia,44.07414,41.87995
555711022,Pozarym,IV,2537.27,Russia,51.79707,89.28712
555711023,Ust`-Medvedickij,II,502.52,Russia,49.55360,42.60595
555711024,Nizhnehoperskij,II,2307.10,Russia,50.10669,42.21425
555711025,El`tonskij,II,1054.03,Russia,49.17735,46.69432
555711030,Beringiya,IB,18173.64,Russia,65.86150,-172.31129
555711040,Maruhskij,IV,505.04,Russia,43.50402,41.48843
555711047,Reka CHusovaya,II,863.52,Russia,57.46043,59.18126
555711050,Rezhevskoj,IV,342.25,Russia,57.34880,61.03121
555711052,Olen`i ruch`i,II,125.80,Russia,56.53119,59.24593
555711059,Bezhtinskij,IV,432.21,Russia,42.24741,45.98146
555711061,Bazhovskie mesta,II,384.08,Russia,56.42798,60.65144
555711067,Monastyrskij,IV,159.25,Russia,63.42530,44.65826
555711068,Kolyvanskij borok,III,102.86,Russia,51.36014,82.60140
555711072,Kosobsko-Kelebskij,IV,816.28,Russia,42.25464,46.33712
555711073,Kasumkentskij,IV,247.84,Russia,41.61826,47.96996
555711079,Educhanskij,IV,458.68,Russia,57.42546,101.93493
555711083,Verhneamurskij,IV,2394.52,Russia,53.33024,120.85920
555711084,Lebedinye ozera (Okunajskij),IV,2134.03,Russia,56.08697,108.62474
555711112,CHajskij,IV,242.91,Russia,57.85876,110.14017
555711116,Cna,IV,57.29,Russia,55.35425,39.36660
555711118,Kirejskij,IV,291.47,Russia,53.81362,100.46722
555711120,Zulumajskij,IV,656.70,Russia,53.74885,100.83527
555711130,Orlovskij,IV,85.50,Russia,56.17796,68.55288
555711146,Boloto Zapovednoe,III,36.55,Russia,65.12527,32.68453
555711147,Ugranskij,IV,178.93,Russia,54.85702,33.94115
555711153,Tal`sko-Garevskij,IV,348.94,Russia,56.64890,92.91678
555711154,Solgonskij kryazh,IV,1146.96,Russia,55.54234,90.56927
555711155,Tajbinskij,IV,673.62,Russia,54.61019,96.02675
555711165,SHumyachskij,IV,187.47,Russia,53.92366,32.30434
555711168,Tohtaj,IV,158.61,Russia,53.05655,92.63312
555711174,Baltasinskij,IV,34.52,Russia,56.31812,50.23079
555711178,Klyaz`minskij,IV,193.43,Russia,56.49705,41.62388
555711184,Azas,IA,3338.08,Russia,52.50541,97.58970
555711185,Pelikanij (Ondatrovyj),IV,26.03,Russia,53.44925,78.86460
555711201,Mamontovskij,IV,98.28,Russia,52.64159,81.54968
555711208,Ust`-CHumyshskij,IV,70.74,Russia,53.55058,83.17247
555711216,Ershichskij,IV,262.77,Russia,53.69763,32.90244
555711217,Karasevskaya lesnaya dacha,IV,32.73,Russia,54.98058,38.65980
555711218,ZHuravlinaya rodina,IV,119.74,Russia,56.73773,37.87010
555711219,Velizhskij,IV,207.61,Russia,55.49135,31.07060
555711222,El`ninskij,IV,199.01,Russia,54.43693,32.87425
555711223,Gagarinskij,II,607.45,Russia,55.85392,34.88562
555711236,Konoshskij,IV,80.24,Russia,60.80641,40.31456
555711237,Habykskij,IV,81.65,Russia,54.48747,92.20745
555711238,CHulymskij,IV,154.82,Russia,57.49271,89.42925
555711240,Ubejsko-Salbinskij,IV,157.73,Russia,54.89090,91.60788
555711241,Makovskij,IV,1317.02,Russia,58.18118,90.26943
555711243,Kologrivskij les,IA,592.61,Russia,58.49349,44.20700
555711244,Sisimskij,IV,380.89,Russia,54.79243,93.15467
555711247,Ozero Tunajcha,III,215.32,Russia,46.76948,143.21777
555711250,Kozhozerskij,IV,2030.94,Russia,63.03636,37.90121
555711251,Belozerskij,IV,316.25,Russia,59.71120,37.86173
555711259,Anashenskij bor,III,60.34,Russia,54.90691,91.12502
555711264,SHemogodskij,IV,213.05,Russia,60.79374,46.64272
555711273,CHermozskoe boloto,IV,41.08,Russia,58.75880,56.04945
555711279,Vozhegodskij,IV,165.68,Russia,60.64609,40.91241
555711281,Arej,II,35.92,Russia,51.00108,111.24247
555711283,Argalejskij,IV,109.57,Russia,51.29155,114.03653
555711284,Kemskij,IV,239.42,Russia,59.28182,44.84554
555711310,Ozero Nero,III,54.53,Russia,57.16233,39.41996
555711315,Hutinskij,IV,1076.23,Russia,52.60530,94.64132
555711317,Tapsinskij,IV,1089.51,Russia,51.95212,94.96994
555711318,Ka'kskij,IV,644.37,Russia,51.35685,93.52225
555711325,Zyuratkul`,II,889.40,Russia,54.79417,59.05354
555711326,YUzhno-Ural`skij,IA,2345.97,Russia,54.26066,58.10368
555711341,Il`inskij,IV,83.11,Russia,57.33125,38.64326
555711347,Vostok Finskogo zaliva (Ingermanlandskij),IA,152.25,Russia,60.11701,27.61960
555711353,Ozero Tiberkul`,III,70.72,Russia,53.89886,94.03433
555711356,Verhne-Volzhskij,IV,141.67,Russia,57.69482,38.48969
555711363,Hutinskij,IV,805.67,Russia,49.50459,139.30383
555711370,Lesnoj klyuch,IV,238.66,Russia,55.55749,48.87611
555711371,Ul`durginskij,IV,453.85,Russia,52.26998,114.66624
555711373,Manominskij,IV,341.88,Russia,49.56863,137.79272
555711374,Hor-Muhen (Hor-Muhenskij),IV,182.75,Russia,48.43965,136.69356
555711376,Ust`e reki Meshi,IV,127.52,Russia,55.39201,49.38649
555711381,ZHura,IV,270.54,Russia,55.32047,90.95191
555711382,Centr ohrany prirody  Zejskij,II,36.67,Russia,51.05428,127.86512
555711386,Oloneckij,IV,240.13,Russia,60.75197,32.99242
555711393,Iglovskij bolotnyj massiv,III,45.24,Russia,56.85163,84.53682
555711394,Bolotnaya sistema Uluh-CHayah,II,116.74,Russia,57.42381,88.76417
555711396,Sosnovye bory Prichet`ya,II,37.28,Russia,57.10233,88.25223
555711403,Gornaya Adygeya,II,57.68,Russia,43.98176,39.83330
555711409,Mininskie Stolby,III,43.85,Russia,56.00311,92.37220
555711412,Geograficheskij centr Rossijskoj Federacii,III,122.33,Russia,66.42456,94.23306
555711421,Ozero Svetlen`koe,III,41.06,Russia,59.41762,88.86485
555711422,Ob`-Enisejskij soedinitel`nyj vodnyj put`,III,59.01,Russia,59.32193,88.93920
555711423,Boloto Sandilovo  vklyuchaya Luzhenskoe  Russkogornoe,IV,36.16,Russia,57.60490,34.88721
555711429,Krasnoyarskie Stolby,II,472.20,Russia,55.83139,92.85438
555711431,Taganaj,II,576.48,Russia,55.34236,59.81905
555711446,Eerbekskij,IV,246.66,Russia,51.83471,93.90450
555711462,CHaa-Hol`skij,IV,238.22,Russia,51.14463,92.30550
555711467,Babushkinskij,IV,239.24,Russia,59.88413,43.02898
