candidate_id,lat,lon,landforms
uc-3839444,-33.4851,-60.0063,river|wetland
uc-3836993,-31.4396,-68.5205,desert|river
uc-3838564,-25.7986,-64.9739,
uc-12035902,-26.9963,-54.477,
uc-3433836,-27.4831,-55.8292,
uc-3433753,-28.05,-56.0333,
uc-3855974,-42.9115,-71.3195,glacier
uc-3859828,-30.7264,-64.8039,
uc-3845330,-26.9262,-60.0485,
uc-3841390,-23.3164,-64.2183,
uc-3832756,-31.945,-65.1903,steppe
uc-3834502,-27.4936,-64.8597,river
uc-3861678,-27.2179,-61.1874,
uc-3866242,-38.9774,-67.8271,desert|river
uc-3845181,-35.4779,-69.5852,steppe
uc-3431391,-27.6038,-55.3237,
uc-3862738,-32.8226,-60.7185,river
uc-3848687,-27.0882,-61.0822,
uc-3434095,-30.0148,-59.5289,wetland
uc-3861061,-38.8222,-68.0629,desert|river
uc-3839307,-43.3003,-65.1056,coast|desert|river
uc-3838561,-24.9858,-65.5784,river|steppe
uc-3860828,-33.8971,-61.0994,
uc-3862583,-40.8025,-62.9835,river|steppe
uc-3430866,-36.7288,-56.6827,coast
uc-3840259,-22.049,-63.6908,
uc-3841309,-46.7994,-67.9578,steppe
uc-3832934,-32.6184,-60.1548,wetland
uc-3431788,-36.0143,-59.0999,
uc-3433349,-27.0435,-55.227,
uc-3833794,-26.3407,-60.4321,
uc-3848353,-46.5413,-68.9323,desert
uc-3432079,-30.7418,-59.6452,river|wetland
uc-3430598,-30.2518,-57.6354,river
uc-3435963,-35.168,-58.2374,
uc-3841500,-32.9984,-60.7679,
uc-3844899,-32.6978,-62.1067,
uc-3860801,-31.022,-64.0617,
uc-3856231,-23.21,-64.0996,
uc-3833112,-35.4325,-60.1716,
uc-3843803,-27.1683,-65.4989,
uc-3428577,-26.6218,-54.109,
uc-3836951,-40.1579,-71.3534,glacier
uc-3427431,-37.2639,-56.973,coast
uc-3429248,-34.2508,-59.4694,
uc-3858677,-50.3407,-72.2768,lake|steppe
uc-3428071,-28.551,-56.0412,river|wetland
uc-3855041,-35.0326,-63.0148,
uc-3430601,-26.5685,-54.7579,river
uc-3838797,-31.6501,-63.9117,
uc-3838650,-34.1977,-60.7337,
uc-3837124,-30.7899,-60.5928,
uc-3428609,-35.4392,-58.8074,
uc-3860174,-37.9857,-61.3504,
uc-3433801,-37.002,-57.1358,
uc-3858765,-41.9605,-71.5334,glacier
uc-3865385,-33.1536,-60.5117,river|wetland
uc-3843619,-30.7107,-62.0071,
uc-3865840,-28.4602,-62.8335,
uc-3859512,-30.425,-64.3527,
uc-3852468,-34.1269,-63.3908,
uc-3855116,-22.5962,-63.811,
uc-3833027,-29.4599,-60.2131,
uc-3865424,-31.4192,-63.0508,
uc-3434291,-27.2966,-54.1981,river
uc-3859384,-32.0671,-60.6427,river|wetland
uc-3862607,-35.6225,-61.3655,
uc-3841504,-33.0749,-68.8884,desert
uc-3853491,-25.1136,-64.1263,river|steppe
uc-3429949,-25.7327,-59.1099,
uc-3427388,-28.4873,-59.3542,
uc-3859965,-31.2452,-64.4657,
uc-3433817,-35.7684,-58.4944,river
uc-3436221,-37.1528,-58.4884,
uc-3834971,-30.9448,-61.5597,
uc-3847613,-31.8704,-62.7197,
uc-3838684,-32.9949,-68.686,desert
uc-3841149,-31.6813,-63.8824,
uc-3428359,-30.9443,-59.7883,river|wetland
uc-3855244,-32.0296,-61.221,
uc-3838506,-34.2624,-62.7113,
uc-3429403,-28.255,-58.6239,wetland
uc-3859904,-32.0308,-60.3062,wetland
uc-3855554,-33.4594,-61.4832,
