qid,tier,lat,lon,sitelinks,iso
Q56550476,pilgrimage_major,40.59830,15.51204,1,IT
Q56635997,pilgrimage_major,40.41315,15.84249,1,IT
Q57315087,pilgrimage_major,43.26250,68.28583,3,KZ
Q57315182,pilgrimage_major,49.16056,79.24167,1,KZ
Q58096740,pilgrimage_major,41.05972,-2.57889,1,ES
Q58449983,pilgrimage_major,48.14234,12.78982,2,DE
Q59425502,pilgrimage_major,50.01083,7.94694,2,DE
Q59660652,pilgrimage_major,46.04511,11.14986,2,IT
Q60173995,pilgrimage_major,48.41530,11.49994,2,DE
Q60393367,pilgrimage_major,43.86832,3.68274,2,FR
Q60539678,pilgrimage_major,49.05671,2.32771,0,FR
Q60983588,pilgrimage_major,14.61439,121.03078,4,PH
Q61390912,pilgrimage_major,43.49667,-7.14333,2,ES
Q61756818,pilgrimage_major,49.47731,18.04292,2,CZ
Q61774901,pilgrimage_major,48.17206,15.35178,1,AT
Q62008192,pilgrimage_major,44.81998,11.62389,2,IT
Q62528119,pilgrimage_major,27.57100,85.58400,2,NP
Q62701186,pilgrimage_major,-19.46153,-42.56106,1,BR
Q63049143,pilgrimage_major,41.95931,-0.79420,0,ES
Q63148167,pilgrimage_major,-0.11109,-78.29615,6,EC
Q63183625,pilgrimage_major,38.82542,-9.28286,1,PT
Q63253353,pilgrimage_major,47.81840,9.34736,2,DE
Q63328875,pilgrimage_major,45.98180,8.38600,2,IT
Q63468511,pilgrimage_major,48.36552,8.80135,2,DE
Q64512834,pilgrimage_major,48.79140,15.97102,1,AT
Q66050835,pilgrimage_major,42.59423,-1.21606,4,ES
Q66108330,pilgrimage_major,53.49250,-9.65300,2,IE
Q66219034,pilgrimage_major,50.34522,16.23749,1,CZ
Q66364030,pilgrimage_major,49.70378,11.18536,2,DE
Q66605006,pilgrimage_major,42.40819,-8.40156,2,ES
Q66739821,pilgrimage_major,43.66583,11.42977,1,IT
Q66816106,pilgrimage_major,32.82879,-16.98535,2,PT
Q67770172,pilgrimage_major,19.48444,-99.11722,2,MX
Q68164740,pilgrimage_major,45.23383,4.95334,1,FR
Q69408927,pilgrimage_major,45.82830,15.37141,0,SI
Q69421617,pilgrimage_major,41.89508,-7.05354,1,PT
Q70104963,pilgrimage_major,41.20868,-8.27525,1,PT
Q70381302,pilgrimage_major,39.38992,3.14950,3,ES
