qid,lat,lon,sitelinks,iso
Q52272,46.48333,6.35000,26,CH
Q52298,46.45000,6.28333,26,CH
Q52299,46.46667,6.25000,25,CH
Q52685,46.83576,6.65159,27,CH
Q52694,46.78302,6.57186,25,CH
Q52699,46.46667,7.11667,35,CH
Q52701,46.61600,6.47270,25,CH
Q52719,46.65000,6.80000,22,CH
Q52737,46.76667,6.76667,24,CH
Q57090,46.73333,6.46667,27,CH
Q57096,46.85100,6.72050,24,CH
Q57097,46.32135,6.18907,31,CH
Q57102,46.83333,6.70000,23,CH
Q57110,46.46667,6.85000,30,CH
Q57111,46.61667,6.51667,33,CH
Q57122,46.75000,6.70000,25,CH
Q63896,47.36528,7.34722,75,CH
Q63912,47.03306,9.06639,77,CH
Q63931,46.95944,8.36667,67,CH
Q63939,47.47291,8.30799,54,CH
Q63946,46.77850,6.64083,62,CH
Q63964,46.89694,8.24694,67,CH
Q63970,47.38510,9.27860,66,CH
Q63986,47.28836,7.94754,55,CH
Q63992,46.15000,8.76667,53,CH
Q64019,46.62049,8.63140,51,CH
Q64027,46.38196,6.23888,76,CH
Q64032,47.34917,8.71917,60,CH
Q64044,46.19555,9.02381,87,CH
Q64077,47.46639,9.04972,51,CH
Q64093,47.05317,6.74816,56,CH
Q64099,47.48639,8.20833,53,CH
Q64113,47.04583,7.27639,42,CH
Q64123,46.72750,8.18722,49,CH
Q64139,47.35278,8.34000,39,CH
Q64147,46.29222,7.88278,42,CH
Q64156,47.51667,9.43333,52,CH
Q64165,47.32056,7.90139,38,CH
Q64178,47.00778,9.53083,42,CH
Q64183,47.08278,8.44083,46,CH
Q64191,47.12340,9.31500,35,CH
Q64195,46.54972,9.31667,30,CH
Q64213,46.76639,9.20000,33,CH
Q64216,47.41917,8.27639,31,CH
Q64219,47.53220,8.25660,29,CH
Q64226,46.73886,9.45528,28,CH
Q64229,46.68306,9.64972,29,CH
Q64255,47.56190,8.28483,29,CH
Q64292,46.78722,8.15972,36,CH
Q64319,46.66639,9.54972,27,CH
Q64328,46.64498,9.61312,28,CH
Q64338,46.77470,10.20080,30,CH
Q64342,46.71800,9.45890,30,CH
Q64359,46.60300,9.42640,33,CH
Q64380,46.99111,8.52472,35,CH
Q64424,47.48167,8.31667,29,CH
Q64491,47.41410,8.08180,31,CH
Q64559,46.77640,9.11680,27,CH
Q64567,46.97463,8.42068,33,CH
Q64571,47.04810,9.43980,43,CH
Q64609,46.69972,10.09972,39,CH
Q64614,46.86778,8.23861,33,CH
Q64617,46.39146,9.23744,32,CH
Q64622,47.35230,9.24900,32,CH
Q64643,46.88658,9.73945,30,CH
Q64679,47.51850,7.69275,36,CH
Q64705,47.43139,7.70528,29,CH
Q64727,47.55083,7.53583,42,CH
Q64735,47.40317,7.77987,30,CH
Q64740,46.82940,9.40660,31,CH
Q64748,46.99028,9.63750,28,CH
Q64755,47.26222,8.37750,29,CH
Q64760,46.70980,7.96360,34,CH
Q64805,46.71639,9.43333,29,CH
Q64853,47.52222,8.79111,29,CH
Q64865,47.49972,9.23333,34,CH
Q64882,47.36611,8.67861,36,CH
Q64912,46.23480,9.12570,33,CH
Q64951,46.74332,8.98310,33,CH
Q64957,47.29833,8.39722,29,CH
Q64969,46.76639,7.33306,31,CH
Q64974,47.36667,9.19972,30,CH
Q64977,47.23556,8.42778,30,CH
Q64992,47.60000,9.06639,29,CH
Q65002,47.55667,8.22472,30,CH
Q65069,46.70000,9.44972,27,CH
Q65083,46.86639,10.41667,24,CH
Q70157,45.95000,7.20000,33,CH
Q70161,46.31667,7.76667,26,CH
Q70163,46.17920,7.02250,25,CH
Q70171,47.65417,8.65389,29,CH
Q70173,46.01240,8.81642,25,CH
Q70182,46.00000,8.85000,26,CH
Q70188,46.61667,6.81667,26,CH
Q70190,46.87180,6.92880,24,CH
Q70194,47.01667,6.90000,23,CH
Q70197,47.48389,8.43861,29,CH
Q70199,46.80850,6.64430,32,CH
Q70202,46.66871,6.79743,31,CH
Q70204,47.05540,7.06910,26,CH
Q70210,46.65798,6.50837,30,CH
Q70216,46.48333,6.41667,26,CH
Q70237,47.23194,7.50417,26,CH
Q70243,46.55000,6.60000,28,CH
Q70260,46.48333,6.36667,28,CH
Q70268,47.13722,7.81389,24,CH
Q70271,47.26139,7.65917,24,CH
Q70273,47.52472,8.43917,27,CH
Q70308,46.94399,6.84793,24,CH
Q70315,46.30000,7.53333,23,CH
Q70328,46.31667,8.50000,28,CH
Q70330,45.86667,8.93333,19,CH
Q70334,46.05000,8.95000,24,CH
Q70339,46.96667,6.86667,24,CH
Q70347,46.40000,8.15000,27,CH
Q70357,46.43333,8.18333,20,CH
Q70361,46.28056,7.44722,29,CH
Q70367,47.57639,8.60917,28,CH
Q70385,46.97630,6.87830,21,CH
Q70391,46.26667,7.76667,26,CH
Q70399,47.30390,7.26990,18,CH
Q70409,47.22260,7.02750,22,CH
Q70411,47.28850,7.04710,25,CH
Q70424,47.01310,6.98640,22,CH
Q70450,46.90124,6.68415,24,CH
Q70459,47.07110,6.95570,17,CH
Q70501,46.75000,6.53333,24,CH
Q70503,46.73333,6.45000,24,CH
Q70505,46.76587,6.50753,23,CH
Q70515,46.47639,6.77861,26,CH
Q70525,46.65000,6.53333,25,CH
Q70528,46.39167,6.80638,27,CH
Q70535,46.46667,6.80000,24,CH
Q70540,46.58333,6.53333,22,CH
Q70551,46.83333,6.61667,23,CH
Q70553,46.58333,6.36667,24,CH
Q70555,46.75115,6.50102,24,CH
Q70557,46.71667,6.78333,14,CH
Q70568,46.76667,6.75000,23,CH
Q70588,46.83333,6.68333,23,CH
Q70591,46.75000,6.91667,22,CH
Q70649,46.81667,6.58333,22,CH
Q70655,46.57746,6.55921,24,CH
Q70661,46.81667,6.61667,23,CH
Q70665,46.68333,6.38333,24,CH
Q70673,46.76667,6.80000,21,CH
