qid,tier,lat,lon,radius_km,iso
Q6124521,ich_national,37.29167,-4.87917,60,ES
Q6124527,ich_national,38.51222,-1.70333,60,ES
Q6124531,ich_national,37.25000,-6.95000,60,ES
Q6124533,ich_national,36.70000,-6.11667,60,ES
Q6124542,ich_national,38.10000,-3.63333,60,ES
Q6124544,ich_national,37.16667,-4.15000,60,ES
Q6124551,ich_national,37.72278,-3.96583,60,ES
Q6124559,ich_national,41.30853,-4.91505,60,ES
Q6124557,ich_national,41.88306,-5.04278,60,ES
Q6124566,ich_national,39.95694,-3.49667,60,ES
Q6124564,ich_national,38.91583,-6.33333,60,ES
Q6124571,ich_national,38.08556,-0.94694,60,ES
Q6124569,ich_national,36.93465,-5.25991,60,ES
Q6124586,ich_national,36.46661,-6.20097,60,ES
Q6124598,ich_national,38.58306,-1.68306,60,ES
Q6124601,ich_national,39.26667,-2.60000,60,ES
Q6124611,ich_national,37.54111,-5.07944,60,ES
Q6124609,ich_national,40.65435,-4.69622,60,ES
Q6124613,ich_national,38.01167,-3.37167,60,ES
Q6126615,ich_national,-14.07060,-75.72562,60,PE
Q6126618,ich_national,-11.34645,-75.65304,60,PE
Q6135210,ich_national,43.37194,-3.45972,60,ES
Q6141665,ich_national,40.63333,-3.16667,60,ES
Q6374036,ich_national,38.66536,139.87419,60,JP
Q6444374,ich_national,5.12400,-2.29900,60,GH
Q446226,ich_national,51.16667,3.50000,60,BE
Q8338708,ich_national,41.22428,1.72591,60,ES
Q8771143,ich_national,43.52931,-5.67732,60,ES
Q8961227,ich_national,38.74419,-0.44003,60,ES
Q8961500,ich_national,42.55648,-8.99221,60,ES
Q8961531,ich_national,43.41770,-5.40989,60,ES
Q8961602,ich_national,43.39122,-5.66099,60,ES
Q8961606,ich_national,42.59506,-8.74306,60,ES
Q8961623,ich_national,39.82360,-0.23170,60,ES
Q8961628,ich_national,39.98598,-0.03744,60,ES
Q9024118,ich_national,42.56222,-2.75917,60,ES
Q9035210,ich_national,38.63500,-0.86583,60,ES
Q9056620,ich_national,42.03111,-2.23167,60,ES
Q9066149,ich_national,41.23389,1.80417,60,ES
Q9066621,ich_national,42.59333,-8.41500,60,ES
Q9075846,ich_national,39.46330,-0.32695,60,ES
Q9075862,ich_national,37.98333,-3.46667,60,ES
Q9075868,ich_national,37.89000,-4.78000,60,ES
Q9075874,ich_national,42.59889,-5.56694,60,ES
Q9075872,ich_national,43.48444,-8.23278,60,ES
Q9075878,ich_national,37.68333,-1.70000,60,ES
Q9075883,ich_national,36.71667,-4.41667,60,ES
Q9075880,ich_national,40.96500,-5.66417,60,ES
Q9075887,ich_national,41.65198,-4.72856,60,ES
Q9075892,ich_national,41.65000,-0.88333,60,ES
Q9630496,ich_national,-1.45583,-48.50389,60,BR
Q10383305,ich_national,-20.37818,-43.41745,60,BR
Q10858554,ich_national,-13.51630,-71.97810,60,PE
Q10964995,ich_national,-3.40813,114.84854,60,ID
Q10978475,ich_national,-0.02056,109.34139,60,ID
Q11045882,ich_national,-5.44083,105.25833,60,ID
Q11166489,ich_national,38.69830,-0.47360,60,ES
Q5931264,ich_national,43.54939,-5.87582,60,ES
Q5936421,ich_national,42.54417,-2.78500,60,ES
Q5954338,ich_national,37.34806,-2.36056,60,ES
Q5962041,ich_national,42.11921,-8.84962,60,ES
Q5962713,ich_national,38.97389,-5.80028,60,ES
Q5963001,ich_national,39.50278,-0.44056,60,ES
Q5963233,ich_national,39.08333,-5.46667,60,ES
Q5963246,ich_national,39.82333,-2.76694,60,ES
Q5970284,ich_national,39.80272,-6.63343,60,ES
Q5976132,ich_national,36.71667,-4.41667,60,ES
Q5977672,ich_national,-14.69395,-74.12413,60,PE
Q5979697,ich_national,43.45446,-5.85213,60,ES
Q5980061,ich_national,40.08838,-6.34960,60,ES
Q6003103,ich_national,43.69458,-7.44203,60,ES
Q6019517,ich_national,42.68030,-1.78581,60,ES
Q6038341,ich_national,43.61987,-7.59366,60,ES
Q6059632,ich_national,38.98333,-3.91667,60,ES
Q6065752,ich_national,43.38444,-3.21500,60,ES
Q6087155,ich_national,39.86667,-4.03333,60,ES
Q6101908,ich_national,37.01837,-4.55966,60,ES
Q537225,ich_national,48.53778,9.04111,60,CH
Q594189,ich_national,0.03485,110.95066,60,ID
Q643225,ich_national,-7.80139,110.36444,60,ID
Q648409,ich_national,43.14851,-4.01969,60,ES
Q677406,ich_national,48.53970,12.15080,60,DE
Q720230,ich_national,-7.68333,110.83333,60,ID
Q20548926,ich_national,42.53461,-8.30079,60,ES
Q20971942,ich_national,48.36712,-3.74531,60,FR
Q20984236,ich_national,42.39282,-1.80831,60,ES
Q20994893,ich_national,42.68389,-1.95833,60,ES
