qid,tier,lat,lon,sitelinks,iso
n10053660135,craft_cluster,36.65880,138.18746,0,JP
n10727065500,craft_cluster,36.65403,138.19690,0,JP
n11633788329,craft_cluster,36.65392,138.20058,0,JP
n10859756547,craft_cluster,36.65771,138.19383,0,JP
n11451599239,craft_cluster,36.65897,138.19840,0,JP
n11451599243,craft_cluster,36.65906,138.20049,0,JP
n2421744474,institution,36.59281,138.22790,0,JP
n6130355236,institution,36.61781,138.25273,0,JP
n5795128511,craft_cluster,36.64222,138.20309,0,JP
n10139340034,craft_cluster,36.66204,138.21536,0,JP
n6313667638,craft_cluster,36.64661,138.22984,0,JP
n6313679477,craft_cluster,36.64505,138.22867,0,JP
n11738081806,craft_cluster,36.64808,138.23249,0,JP
n5930475830,craft_cluster,36.65433,138.22996,0,JP
n10088395968,craft_cluster,36.68505,138.29692,0,JP
n2708058503,institution,36.65525,138.30887,0,JP
n5797803996,craft_cluster,36.65150,138.31171,0,JP
n5800012759,institution,36.68030,138.35921,0,JP
n6565299766,craft_cluster,36.74070,138.08519,0,JP
n4331652820,institution,36.75619,138.08018,0,JP
n6722934941,institution,36.80900,138.20064,0,JP
n2498080368,institution,36.76271,138.25384,0,JP
n7015913496,institution,36.72102,138.29029,0,JP
n5645113821,institution,36.75390,138.37575,0,JP
n8910846620,craft_cluster,36.84536,138.36120,0,JP
n5824756604,institution,37.00367,137.73158,0,JP
n4571246230,institution,37.02474,137.86782,0,JP
n4571243203,institution,37.02552,137.87038,0,JP
n3298520376,institution,36.93756,137.90075,0,JP
n12434991167,institution,37.04314,137.86142,0,JP
n4570189966,craft_cluster,37.04531,137.85914,0,JP
n5759771732,institution,37.11433,138.00588,0,JP
n11954807097,institution,37.03970,138.24762,0,JP
n13933741597,institution,37.15075,138.21352,0,JP
n8670967278,craft_cluster,37.15036,138.27991,0,JP
n12917715154,institution,37.18365,138.32868,0,JP
n1781493929,institution,36.71057,138.49513,0,JP
n1781513744,institution,36.71036,138.49482,0,JP
n1742251439,institution,36.61461,138.59068,0,JP
n1742251462,institution,36.62410,138.59252,0,JP
n1742251452,institution,36.62070,138.59650,0,JP
n12103594112,craft_cluster,36.62263,138.59808,0,JP
n12103603803,institution,36.62186,138.59955,0,JP
n8867365068,institution,36.62318,138.60391,0,JP
n13531172941,institution,36.54383,138.67982,0,JP
n2319785617,institution,36.58601,138.62404,0,JP
