id,lat,lon,kind,weight,tag
Q292106,43.21111,5.33528,A3,0.7,Q23442
Q292117,45.50823,-73.52739,A3,0.7,Q23442
Q292138,-48.92361,69.18167,A3,0.7,Q23442
Q292148,43.50778,7.04583,A3,0.7,Q23442
Q292194,76.16667,-103.25000,A3,0.7,Q23442
Q292203,-20.42000,57.73306,A3,0.7,Q23442
Q292217,-20.27240,57.80410,A3,0.7,Q23442
Q292234,-46.10250,50.23167,A3,0.7,Q23442
Q292246,46.78611,-56.14861,A3,0.7,Q23442
Q292248,-17.10944,49.80672,A3,0.7,Q23442
Q292271,41.36763,9.26220,A3,0.7,Q23442
Q292346,46.99226,-2.25828,A3,0.7,Q23442
Q886822,12.96130,-61.13090,A3,0.7,Q23442
Q887472,54.51667,-7.83333,A3,0.7,Q23442
Q887518,-2.98389,127.91694,A3,0.7,Q23442
Q887590,-63.25000,-55.75000,A3,0.7,Q23442
Q888857,51.90660,-177.44705,A3,0.7,Q23442
Q889519,-12.29639,168.83194,A3,0.7,Q23442
Q890730,54.93330,12.03330,A3,0.7,Q23442
Q890879,23.25000,-75.10000,A3,0.7,Q23442
Q891017,-9.26667,142.21667,A3,0.7,Q23442
Q1368627,7.25000,117.16667,A3,0.7,Q23442
Q1369095,-23.13333,-44.16667,A3,0.7,Q23442
Q1369204,2.58333,98.81667,A3,0.7,Q23442
Q1369366,43.52361,7.04528,A3,0.7,Q23442
Q1371638,56.09778,-132.36028,A3,0.7,Q23442
Q1373884,73.15000,76.45000,A3,0.7,Q23442
Q1377594,57.18262,-169.94682,A3,0.7,Q23442
Q1379047,81.63333,63.10000,A3,0.7,Q23442
Q1380487,20.70833,30.32500,A3,0.7,Q23442
Q1381608,40.60889,-74.20167,A3,0.7,Q23442
Q1383305,22.59992,69.95578,A3,0.7,Q23442
Q1383873,-39.68333,143.83333,A3,0.7,Q23442
Q1384924,20.53806,144.89806,A3,0.7,Q23442
Q1385851,59.14472,-3.11972,A3,0.7,Q23442
Q1392962,29.43333,48.33333,A3,0.7,Q23442
Q1393343,-8.67608,-140.61728,A3,0.7,Q23442
Q1393489,9.76028,140.52083,A3,0.7,Q23442
Q1393832,-37.85600,176.97300,A3,0.7,Q23442
Q1394410,36.84200,23.88500,A3,0.7,Q23442
Q1395702,5.35353,132.22719,A3,0.7,Q23442
Q1396086,58.84160,-3.17125,A3,0.7,Q23442
Q1396255,59.21364,-2.82307,A3,0.7,Q23442
Q1396765,65.70910,24.13110,A3,0.7,Q23442
Q1397166,27.99306,50.17250,A3,0.7,Q23442
Q1397551,21.66528,112.79556,A3,0.7,Q23442
Q1398335,-11.91667,170.20000,A3,0.7,Q23442
Q1398502,34.00361,-119.72639,A3,0.7,Q23442
Q1405205,-3.16246,152.57812,A3,0.7,Q23442
Q1405687,0.26988,-91.62550,A3,0.7,Q23442
Q1407303,-66.13333,96.58333,A3,0.7,Q23442
Q1409059,60.18958,25.00747,A3,0.7,Q23442
Q1409509,77.43333,-105.10000,A3,0.7,Q23442
Q1410190,77.53333,-85.15000,A3,0.7,Q23442
Q1411131,48.37371,-122.51461,A3,0.7,Q23442
Q1411377,56.06667,-2.78333,A3,0.7,Q23442
Q1411576,59.15000,-2.58333,A3,0.7,Q23442
Q1412352,4.18750,73.52917,A3,0.7,Q23442
Q1412482,4.11468,118.62876,A3,0.7,Q23442
Q1412667,29.65577,-84.88130,A3,0.7,Q23442
Q1412922,53.97640,-166.14400,A3,0.7,Q23442
Q1414691,27.68278,142.13833,A3,0.7,Q23442
Q1414778,43.11740,12.13730,A3,0.7,Q23442
Q1415130,55.63417,-131.29750,A3,0.7,Q23442
Q1416753,26.15000,50.61667,A3,0.7,Q23442
Q1418409,59.62444,25.02083,A3,0.7,Q23442
Q1418551,68.78306,15.03722,A3,0.7,Q23442
Q1418789,40.64750,-73.14667,A3,0.7,Q23442
Q1418816,-55.25000,-69.00000,A3,0.7,Q23442
Q1419053,36.39800,25.37863,A3,0.7,Q23442
Q1419113,43.80278,15.33333,A3,0.7,Q23442
Q1419193,49.94056,-124.81722,A3,0.7,Q23442
Q1419813,16.38342,-86.41783,A3,0.7,Q23442
Q1420365,-7.91583,-140.57361,A3,0.7,Q23442
Q1420431,-44.28142,-176.21609,A3,0.7,Q23442
Q1420953,67.98333,13.00000,A3,0.7,Q23442
Q1421494,-8.47639,122.98389,A3,0.7,Q23442
Q17093743,63.12120,8.59650,A3,0.6,Q45776
Q17099711,60.80000,5.26667,A3,0.6,Q45776
Q17712965,61.60641,-6.90685,A3,0.6,Q45776
Q17749581,68.49000,15.58800,A3,0.6,Q45776
Q17750262,68.83227,16.51861,A3,0.6,Q45776
Q17762908,10.61667,-85.66667,A3,0.6,Q45776
Q17778657,69.29491,16.96255,A3,0.6,Q45776
Q18176445,65.80528,-14.65000,A3,0.6,Q45776
Q18518812,63.57806,10.54222,A3,0.6,Q45776
Q18647669,62.22111,-6.46000,A3,0.6,Q45776
Q18651604,70.81040,23.44963,A3,0.6,Q45776
Q19309697,-44.73000,167.57000,A3,0.6,Q45776
Q19370039,66.26667,13.56667,A3,0.6,Q45776
Q19375555,70.32647,25.08818,A3,0.6,Q45776
Q19378286,59.45345,5.87494,A3,0.6,Q45776
Q19378529,79.41350,10.87540,A3,0.6,Q45776
Q19379072,68.27835,13.73265,A3,0.6,Q45776
Q19383326,58.45000,5.85000,A3,0.6,Q45776
Q19383328,66.23333,13.63333,A3,0.6,Q45776
Q19383392,63.77775,11.00639,A3,0.6,Q45776
Q19386407,67.94900,13.10300,A3,0.6,Q45776
Q19386442,79.50000,10.73333,A3,0.6,Q45776
Q19387242,63.76896,11.02716,A3,0.6,Q45776
Q19387610,71.03333,25.01667,A3,0.6,Q45776
Q19388109,59.00639,11.10556,A3,0.6,Q45776
Q19389534,59.04700,5.65200,A3,0.6,Q45776
Q19390695,63.67505,8.49895,A3,0.6,Q45776
Q19391118,60.05694,5.79639,A3,0.6,Q45776
Q19391687,58.41667,6.00000,A3,0.6,Q45776
Q19397556,68.40598,16.55899,A3,0.6,Q45776
Q19397942,68.50300,15.58000,A3,0.6,Q45776
Q19562320,56.75920,8.55466,A3,0.6,Q45776
Q19904201,60.03700,-44.69900,A3,0.6,Q45776
Q19960979,62.21220,-75.69530,A3,0.6,Q45776
Q20747379,62.23800,-6.81000,A3,0.6,Q45776
Q21003696,-42.25875,-72.41524,A3,0.6,Q45776
Q21076798,-54.77613,-69.97019,A3,0.6,Q45776
Q21793423,71.66667,-27.28333,A3,0.6,Q45776
Q21794037,70.83333,-24.75000,A3,0.6,Q45776
Q21797355,71.52877,-28.21564,A3,0.6,Q45776
Q21808710,71.00000,-26.20000,A3,0.6,Q45776
Q21808720,71.01667,-27.73333,A3,0.6,Q45776
Q21808760,70.91667,-28.00000,A3,0.6,Q45776
Q21809571,70.75000,-27.83333,A3,0.6,Q45776
Q21809578,70.47500,-28.63333,A3,0.6,Q45776
Q21809583,70.46667,-27.00000,A3,0.6,Q45776
Q21810707,70.16667,-27.25000,A3,0.6,Q45776
Q21821428,70.65000,-22.53333,A3,0.6,Q45776
Q21822129,71.42667,-22.40167,A3,0.6,Q45776
Q21822140,71.68333,-22.47500,A3,0.6,Q45776
Q21822419,71.75000,-22.80833,A3,0.6,Q45776
Q21822478,71.09000,-21.91000,A3,0.6,Q45776
Q21825534,72.35000,-22.33333,A3,0.6,Q45776
Q21828512,72.44333,-25.00000,A3,0.6,Q45776
Q21834534,73.25000,-24.06667,A3,0.6,Q45776
Q21841028,73.70000,-24.28333,A3,0.6,Q45776
Q21841029,73.65000,-23.16667,A3,0.6,Q45776
Q21841036,73.75000,-25.30000,A3,0.6,Q45776
Q21841054,73.36167,-27.00000,A3,0.6,Q45776
Q21841056,73.01667,-27.36667,A3,0.6,Q45776
Q21842317,72.80000,-25.83333,A3,0.6,Q45776
Q21842518,72.83333,-26.83333,A3,0.6,Q45776
Q21842582,72.73333,-26.61667,A3,0.6,Q45776
Q21843014,72.66667,-26.33333,A3,0.6,Q45776
Q21843018,72.41667,-25.61667,A3,0.6,Q45776
Q21843041,72.25000,-25.42500,A3,0.6,Q45776
Q21844746,61.45000,-6.76667,A3,0.6,Q45776
Q21844764,61.45000,-6.71667,A3,0.6,Q45776
Q21848522,61.49784,-6.73434,A3,0.6,Q45776
Q21855785,73.83333,-21.78333,A3,0.6,Q45776
Q21855790,74.11667,-21.75000,A3,0.6,Q45776
Q21856543,74.25000,-22.03333,A3,0.6,Q45776
Q21856544,74.46667,-21.20000,A3,0.6,Q45776
Q21856669,74.65000,-20.88333,A3,0.6,Q45776
Q21856671,75.33667,-21.00000,A3,0.6,Q45776
Q21856672,75.46333,-21.75500,A3,0.6,Q45776
