qid,lat,lon
Q830883,50.27391,6.95315
Q835770,65.42973,-16.64596
Q839630,53.31667,158.68333
Q840735,60.48528,-152.74306
Q841189,17.36000,-93.22778
Q842154,63.91667,-21.83333
Q849364,-19.83000,-67.64000
Q851232,57.13361,-156.99139
Q858808,-41.10000,-72.49306
Q859354,40.48806,-121.50500
Q859376,14.47472,-90.88083
Q862760,54.75000,160.51667
Q863350,50.49580,9.20295
Q874092,46.13000,25.88000
Q886940,63.97680,-19.06810
Q889637,52.45300,158.19500
Q890128,25.17000,37.75000
Q890658,53.93583,-168.03889
Q895530,50.51720,9.23889
Q901182,54.51800,-164.65000
Q901554,52.31500,-172.51000
Q906358,-34.16392,-69.83217
Q913722,-62.06667,-56.73333
Q928681,38.46861,-28.39917
Q931485,-18.11278,-69.50750
Q932175,-1.38730,29.64350
Q937167,-27.12194,-109.28889
Q937424,-44.69667,-73.07583
Q940121,-38.97500,-71.52000
Q943045,-33.42389,-69.79806
Q955177,28.48592,-17.84824
Q955807,54.76860,-163.72900
Q969968,10.76667,123.23333
Q976414,53.06611,-169.76667
Q978441,15.54000,41.83000
Q978785,51.92333,-177.16806
Q989650,41.72670,12.77860
Q991004,46.71667,150.73333
Q992791,9.20000,67.10000
Q999791,-66.78333,163.25000
Q1018862,64.64083,-17.52778
Q1020272,64.08694,-19.82778
Q1034530,38.60132,-28.83157
Q1037278,40.84472,14.14972
Q1047509,33.12810,35.78560
Q1048209,-1.29750,-90.43417
Q1053880,3.50000,36.05000
Q1055899,-45.92000,-72.95000
Q1055937,-22.26083,-67.41556
Q1055976,-22.05417,-67.96444
Q1056001,13.82778,-89.62528
Q1057979,42.69000,141.37806
Q1058241,52.57222,-171.14139
Q1058950,58.77000,-153.67194
Q1062516,-1.36667,-89.68333
Q1064098,0.58330,-90.75359
Q1067417,35.23000,139.02389
Q31450288,19.16444,-99.25639
Q31450295,18.97200,-101.71690
Q31450301,19.40944,-100.48444
Q31450309,18.85250,-100.12778
Q31450315,18.85160,-100.10020
Q31450321,16.66518,-92.59515
Q31450327,18.92846,-99.94650
Q31450335,16.48941,-92.40866
Q31450343,17.40361,-97.60722
Q31450351,19.51500,-103.95389
Q31450357,19.74000,-103.79611
Q31450362,19.65145,-103.75707
Q31450368,19.62724,-103.74956
Q31450375,19.76083,-102.07045
Q31450381,19.76278,-102.06250
Q31450384,19.76306,-102.05778
Q31450390,19.80167,-102.00806
Q31450397,19.77222,-102.02250
Q31450406,19.77361,-102.00889
Q31450412,19.77112,-102.03154
Q31450418,19.77722,-102.55460
Q31450424,19.74753,-101.66199
Q31450432,19.51000,-101.64361
Q31450438,19.51944,-101.43111
Q31450446,19.61778,-101.47333
Q31450452,19.74686,-101.43138
Q31450458,19.74565,-101.36332
Q31450465,19.73580,-101.36817
Q31450471,19.10435,-98.91587
Q31450477,19.09934,-98.90651
Q31450483,19.09752,-98.91987
Q31450491,19.10917,-98.89399
Q31450497,19.08340,-98.93107
Q31450502,19.08387,-98.93765
Q31450509,19.08305,-98.94704
Q31450517,19.07149,-98.90795
Q31450523,19.13727,-98.89926
Q31450529,19.04995,-98.88430
Q31450536,19.02337,-98.91265
Q31450542,19.09370,-98.86000
Q31450550,19.09221,-98.85452
Q31450557,19.10727,-98.87549
Q31450563,19.33840,-98.97060
Q31450700,-15.48056,-72.01694
Q31450706,-15.31833,-72.43333
Q31450712,-15.26056,-72.48472
Q31450719,-15.29000,-72.46139
Q31450731,-15.37222,-72.33750
Q31450737,-14.16260,-71.35660
Q31450743,-15.52000,-72.34750
Q31450748,-15.52333,-72.31278
Q31450754,-15.53444,-72.31111
Q31450762,-15.53639,-72.28833
Q31450781,-4.65280,145.97170
Q31450826,-5.05140,150.10160
Q31450842,-4.91460,151.15770
Q31450912,-2.54306,147.29444
Q31451147,45.35278,36.71417
Q31451155,74.00000,111.50000
Q31451161,52.41080,108.36830
Q31451167,57.54490,162.58510
Q31451208,50.67917,156.02778
Q31451316,52.51540,158.14550
Q31451323,52.54167,158.16889
Q31451329,52.56194,158.22917
Q31451338,52.59694,158.19000
Q31451351,52.61167,158.05000
Q31451358,52.63194,158.12333
Q31451364,52.65750,158.03972
Q31451396,53.59028,159.11167
Q31451439,46.06667,150.10333
Q31451458,57.43970,160.37600
Q31451477,55.07750,160.07830
Q31451483,56.06943,160.47049
Q31451496,53.11972,158.19861
Q31451519,59.08830,161.22920
Q31451547,57.14417,160.02500
Q31454195,55.36580,159.78250
Q31454198,47.34150,152.43880
Q31454213,51.31667,156.58333
Q31454222,59.30500,161.58830
Q31454229,57.96667,160.53333
Q31454251,43.44780,131.64240
Q31454257,43.37972,131.71889
Q31454263,43.43111,131.72139
Q31454267,43.48360,131.67990
Q31454270,43.47444,131.75972
Q31454272,43.62350,131.85690
Q31454274,43.56222,131.87111
Q31454279,46.09250,134.35390
Q31454282,46.95111,134.44278
Q31454284,46.95222,134.37833
Q31454287,46.70278,134.10889
Q31454290,46.67083,134.10333
Q31454294,46.72806,134.07333
