id,lat,lon,kind,weight,tag
osm-node-3660281630,-31.14954,-64.36562,A7,0.7,waterway=waterfall
osm-node-6987660556,-31.13413,-64.38045,A7,0.7,waterway=waterfall
osm-node-11013704373,-4.77099,12.57638,A9,0.8,leisure=nature_reserve
osm-way-1322124811,-31.31168,-64.59215,A7,0.6,natural=wetland
osm-way-1322132815,-31.31615,-64.59704,A7,0.6,natural=wetland
osm-way-1322124812,-31.31400,-64.59367,A7,0.6,natural=wetland
osm-way-1322124813,-31.31332,-64.59331,A7,0.6,natural=wetland
osm-way-1322129256,-31.31145,-64.59687,A7,0.6,natural=wetland
osm-way-1322132816,-31.31472,-64.59511,A7,0.6,natural=wetland
osm-way-1322124145,-31.30485,-64.59481,A7,0.6,natural=wetland
osm-way-1322124146,-31.30436,-64.59607,A7,0.6,natural=wetland
osm-way-1322124147,-31.30623,-64.59641,A7,0.6,natural=wetland
osm-way-1322124148,-31.30716,-64.59701,A7,0.6,natural=wetland
osm-way-1322124149,-31.30713,-64.59580,A7,0.6,natural=wetland
osm-way-1322124150,-31.30719,-64.59412,A7,0.6,natural=wetland
osm-way-1322124151,-31.30630,-64.59316,A7,0.6,natural=wetland
osm-way-1322124152,-31.30474,-64.59389,A7,0.6,natural=wetland
osm-way-1322124809,-31.30739,-64.59353,A7,0.6,natural=wetland
osm-way-1136702024,-31.37341,-64.51409,A2,0.5,historic=castle
osm-way-1304130391,-31.37147,-64.51394,A2,0.5,historic=castle
osm-way-1348719033,-31.34872,-64.49776,A7,0.6,natural=wetland
osm-way-1301603395,-31.37631,-64.44161,A4,0.5,natural=cliff
osm-way-1301603386,-31.37837,-64.44268,A4,0.5,natural=cliff
osm-way-1301603387,-31.37831,-64.44275,A4,0.5,natural=cliff
osm-way-1301603388,-31.37817,-64.44276,A4,0.5,natural=cliff
osm-way-1301603389,-31.37811,-64.44287,A4,0.5,natural=cliff
osm-way-1301603390,-31.37639,-64.44221,A4,0.5,natural=cliff
osm-way-1301603391,-31.37635,-64.44209,A4,0.5,natural=cliff
osm-way-1301603392,-31.37635,-64.44195,A4,0.5,natural=cliff
osm-way-1301603393,-31.37627,-64.44183,A4,0.5,natural=cliff
osm-way-1301603394,-31.37629,-64.44170,A4,0.5,natural=cliff
osm-way-1301603396,-31.37594,-64.44078,A4,0.5,natural=cliff
