country,place,kind,lat,lon,score,on printed map,printed rank,archetypes,whs,sources
Algeria,El Oued,settlement,33.3561,6.8632,11,yes,6.0,,0,"ghsl-ucdb, osm, wikidata"
Algeria,Reggane,settlement,26.7158,0.1714,11,no,,A11,0,"cuisine, ghsl-ucdb, osm"
Algeria,Laghouat,settlement,33.8,2.8651,11,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Relizane,settlement,35.7373,0.556,10,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Tébessa,settlement,35.4042,8.1242,10,yes,19.0,A11,0,"ghsl-ucdb, osm"
Algeria,Bouïra,settlement,36.3749,3.902,10,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Frenda,settlement,35.0654,1.0494,10,no,,A11,0,"ghsl-ucdb, osm"
Algeria,Metlili Chaamba,settlement,32.2667,3.6333,10,no,,A11,0,"cuisine, ghsl-ucdb, osm"
American Samoa,Pago Pago,settlement,-14.2781,-170.7025,100,yes,1.0,,0,"ghsl-ucdb, osm"
Andorra,les Escaldes,settlement,42.5073,1.5341,100,yes,1.0,"A11, A10",1,"cuisine, ghsl-ucdb, osm, unesco-whs, wdpa, wikidata"
Andorra,Andorra la Vella,settlement,42.5078,1.5211,95,no,,"A11, A10, A9",0,"cuisine, ghsl-ucdb, osm, wdpa, wikidata"
Angola,Dondo,settlement,-9.6846,14.4279,100,yes,1.0,A10,0,"ghsl-ucdb, wikidata"
Angola,Cangandala,settlement,-9.7833,16.4333,91,yes,2.0,A9,0,"ghsl-ucdb, wdpa"
Angola,Belize,settlement,-4.65,12.7667,91,yes,5.0,A9,0,"ghsl-ucdb, wdpa"
Angola,Iona National Park,site,-16.5026,12.4569,91,yes,6.0,A9,0,wdpa
Angola,Quiçãma National Park,site,-9.7748,13.6405,91,no,,A9,0,wdpa
Angola,Cameia National Park,site,-11.8972,21.6735,91,yes,7.0,A9,0,wdpa
Angola,Bicuar National Park,site,-15.3156,14.8058,91,yes,8.0,A9,0,wdpa
Angola,Mupa National Park,site,-15.9169,15.5955,91,yes,14.0,A9,0,wdpa
Angola,Luengue-Luiana National Park,site,-17.1514,21.9104,91,yes,9.0,A9,0,wdpa
Angola,Mavinga National Park,site,-15.6975,20.4465,91,yes,10.0,A9,0,wdpa
Angola,Luanda,settlement,-8.8368,13.2343,84,yes,3.0,A12,0,"ghsl-ucdb, wikidata"
Angola,Mbanza Kongo,settlement,-6.2667,14.2383,68,yes,4.0,,1,"ghsl-ucdb, unesco-whs, wikidata"
Angola,Benguela,settlement,-12.5767,13.4027,45,yes,12.0,,0,"ghsl-ucdb, wdpa"
Angola,Virei,settlement,-15.727,12.9496,45,yes,17.0,,0,"ghsl-ucdb, wdpa"
Angola,Cambundi,settlement,-10.8948,17.764,45,yes,13.0,,0,"ghsl-ucdb, wdpa"
Angola,Buco Zau,settlement,-4.7667,12.55,29,no,,,0,"ghsl-ucdb, osm"
Angola,Chitato,settlement,-7.3,20.7333,15,yes,11.0,,0,"ghsl-ucdb, osm"
Angola,Dundo,settlement,-7.3664,20.8156,15,no,,,0,"ghsl-ucdb, osm"
Angola,Huambo,settlement,-12.7761,15.7392,11,yes,15.0,A12,0,"ghsl-ucdb, wikidata"
Angola,Cabinda,settlement,-5.562,12.1948,11,yes,18.0,A12,0,"ghsl-ucdb, wikidata"
Angola,Ramiros,settlement,-9.0626,13.0456,11,no,,A12,0,"ghsl-ucdb, wikidata"
Angola,Andulo,settlement,-11.4868,16.6966,11,yes,16.0,A12,0,"ghsl-ucdb, wikidata"
Antarctica,Larsemann Hills,site,-69.4083,76.225,100,yes,1.0,A9,0,wdpa
Antarctica,Mount Harding,site,-72.9,75.0417,100,yes,2.0,A9,0,wdpa
Antigua and Barbuda,Saint John’s,settlement,17.121,-61.8433,100,yes,1.0,A11,1,"ghsl-ucdb, osm, unesco-whs, wikidata"
Antigua and Barbuda,Codrington Lagoon,site,17.6619,-61.8501,73,yes,2.0,A9,0,wdpa
Argentina,Buenos Aires,settlement,-34.6131,-58.3772,100,yes,1.0,"A10, A12",0,"ghsl-ucdb, wikidata"
Argentina,La Ascensión,site,-46.6673,-71.4489,78,yes,2.0,"A9, A11",0,"osm, wdpa"
Argentina,Ischigualasto / Talampaya Natural Parks,site,-30.0,-68.0,76,yes,3.0,A9,1,"unesco-whs, wdpa, wikidata"
Argentina,Ituzaingó,settlement,-27.585,-56.6871,73,yes,5.0,A9,0,"ghsl-ucdb, wdpa"
Argentina,Esquel,settlement,-42.9115,-71.3195,62,no,,A9,1,"ghsl-ucdb, osm, unesco-whs, wdpa, wikidata"
Argentina,Los Glaciares National Park,site,-50.0,-73.2494,58,yes,12.0,A9,1,"unesco-whs, wdpa, wikidata"
Argentina,El Bolsón,settlement,-41.9605,-71.5334,57,yes,8.0,"A11, A9",0,"ghsl-ucdb, osm, wdpa"
Argentina,Península Valdés,site,-42.5,-64.0,57,yes,13.0,A9,1,"unesco-whs, wdpa, wikidata"
Argentina,Colón,settlement,-32.2231,-58.1443,57,no,,A9,0,"cuisine, ghsl-ucdb, wdpa, wikidata"
Argentina,Concepción del Uruguay,settlement,-32.4846,-58.2322,54,yes,6.0,,0,"cuisine, ghsl-ucdb, wikidata"
Argentina,"Cueva de las Manos, Río Pinturas",site,-47.15,-70.6667,52,no,,A9,1,"unesco-whs, wdpa, wikidata"
Argentina,Córdoba,settlement,-31.4065,-64.1885,50,no,,A12,0,"cuisine, ghsl-ucdb, wikidata"
Argentina,Cosquín,settlement,-31.2452,-64.4657,49,yes,4.0,,0,"cuisine, ghsl-ucdb, wikidata"
Argentina,Garupá,settlement,-27.4831,-55.8292,41,no,,"A10, A9",0,"ghsl-ucdb, wdpa, wikidata"
Argentina,Volcán Tupungato,site,-33.1108,-69.7708,37,yes,16.0,A9,0,"wdpa, wikidata"
Argentina,San Guillermo,site,-29.2576,-69.2733,37,no,,A9,0,"wdpa, wikidata"
Argentina,Monteros,settlement,-27.1683,-65.4989,37,yes,17.0,A9,0,"ghsl-ucdb, wdpa"
Argentina,Diamante,settlement,-32.0671,-60.6427,37,yes,23.0,A9,0,"ghsl-ucdb, wdpa"
Argentina,Perito Moreno,site,-47.9255,-72.2938,37,no,,A9,0,wdpa
Argentina,El Leoncito,site,-31.9034,-69.2572,37,no,,A9,0,wdpa
Argentina,Yaganes,site,-56.944,-65.6333,37,yes,18.0,A9,0,wdpa
Argentina,San Nicolás de los Arroyos,settlement,-33.3342,-60.2108,36,no,,A10,0,"ghsl-ucdb, wikidata"
Argentina,Villa Ángela,settlement,-27.5768,-60.7111,36,yes,10.0,A10,0,"ghsl-ucdb, wikidata"
Argentina,Alta Gracia,settlement,-31.6498,-64.4297,36,no,,A9,0,"cuisine, ghsl-ucdb, wdpa, wikidata"
Argentina,El Impenetrable,site,-25.0035,-61.0988,36,yes,20.0,A9,0,"cuisine, wdpa"
Argentina,San Isidro,settlement,-34.4697,-58.5211,33,no,,,1,"ghsl-ucdb, unesco-whs, wikidata"
Argentina,Quebrada de Humahuaca,site,-23.1999,-65.3489,33,yes,7.0,,1,"unesco-whs, wikidata"
Argentina,Firmat,settlement,-33.4594,-61.4832,30,yes,11.0,A12,0,"cuisine, ghsl-ucdb, wikidata"
Argentina,Formosa,settlement,-26.1849,-58.1731,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,San Luis,settlement,-33.2914,-66.3247,30,yes,14.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Río Cuarto,settlement,-33.1304,-64.3527,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Villa María,settlement,-32.4075,-63.2402,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Santa Rosa,settlement,-36.6162,-64.2899,30,yes,15.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Villa Mercedes,settlement,-33.6757,-65.4578,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Junín,settlement,-34.5939,-60.9464,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Gualeguaychú,settlement,-33.0078,-58.5184,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Venado Tuerto,settlement,-33.7458,-61.9671,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Villa Carlos Paz,settlement,-31.4183,-64.4901,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,General Pico,settlement,-35.6593,-63.7579,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Río Tercero,settlement,-32.1767,-64.1129,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Trenque Lauquen,settlement,-35.9733,-62.7328,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Pehuajó,settlement,-35.8108,-61.899,30,yes,19.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Cañada de Gómez,settlement,-32.8203,-61.3951,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Bell Ville,settlement,-32.6302,-62.6888,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Lincoln,settlement,-34.8682,-61.5293,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Casilda,settlement,-33.0446,-61.1642,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Villa Dolores,settlement,-31.945,-65.1903,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Colón,settlement,-33.8971,-61.0994,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Marcos Juárez,settlement,-32.6978,-62.1067,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,General Villegas,settlement,-35.0326,-63.0148,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Río Segundo,settlement,-31.6501,-63.9117,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Rojas,settlement,-34.1977,-60.7337,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Laboulaye,settlement,-34.1269,-63.3908,30,yes,24.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Arroyito,settlement,-31.4192,-63.0508,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Carlos Casares,settlement,-35.6225,-61.3655,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Pirané,settlement,-25.7327,-59.1099,30,yes,21.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Las Varillas,settlement,-31.8704,-62.7197,30,yes,26.0,A12,0,"cuisine, ghsl-ucdb"
Argentina,Pilar,settlement,-31.6813,-63.8824,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Rufino,settlement,-34.2624,-62.7113,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Los Toldos,settlement,-35.0,-61.0387,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Villa del Rosario,settlement,-31.5542,-63.5356,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Toay,settlement,-36.6739,-64.3798,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,San Jorge,settlement,-31.8971,-61.8599,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Río Ceballos,settlement,-31.1697,-64.3175,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Embalse,settlement,-32.2068,-64.4006,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Carcarañá,settlement,-32.857,-61.1511,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,Unquillo,settlement,-31.2372,-64.3118,30,no,,A12,0,"cuisine, ghsl-ucdb"
Argentina,La Plata,settlement,-34.9213,-57.9544,30,no,,,1,"ghsl-ucdb, unesco-whs, wikidata"
Argentina,Cafayate,settlement,-26.0729,-65.9777,29,no,,A9,0,"ghsl-ucdb, wdpa"
Argentina,Bosques Petrificados de Jaramillo,site,-47.6718,-68.0569,29,yes,22.0,A9,0,wdpa
Argentina,Fuerte Esperanza,site,-25.1428,-61.6879,29,no,,A9,0,wdpa
Argentina,Libertador General San Martín,settlement,-23.8131,-64.7935,27,no,,A9,1,"ghsl-ucdb, unesco-whs, wdpa"
Argentina,Ushuaia,settlement,-54.8108,-68.3159,24,yes,25.0,A12,0,"ghsl-ucdb, osm"
Argentina,Mar del Plata,settlement,-38.0004,-57.5562,21,yes,9.0,,0,"ghsl-ucdb, wikidata"
Argentina,San Miguel de Tucumán,settlement,-26.816,-65.2105,20,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
Argentina,San Salvador de Jujuy,settlement,-24.1928,-65.2934,20,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
Argentina,Puerto Iguazú,settlement,-25.5991,-54.5735,20,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
Argentina,Morteros,settlement,-30.7107,-62.0071,20,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
Argentina,Monte León,site,-50.3372,-68.9173,20,no,,A9,0,"wdpa, wikidata"
Argentina,Campana,settlement,-34.1633,-58.9592,19,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
Argentina,Zapala,settlement,-38.9006,-70.0667,19,no,,A9,0,"ghsl-ucdb, wdpa, wikidata"
